Date : 2022-09-05 18:24:49
Directory : c:\Users\moabobakr\Documents\react-text-annotater\src
Total : 93 files,  7174 codes, 981 comments, 1842 blanks, all 9997 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript       |         47 |      4,065 |        844 |        910 |      5,819 |
| TypeScript React |         36 |      2,537 |        137 |        598 |      3,272 |
| Markdown         |         10 |        572 |          0 |        334 |        906 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |         93 |      7,174 |        981 |      1,842 |      9,997 |
| labeler                                                                                                                            |         91 |      7,032 |        977 |      1,823 |      9,832 |
| labeler\components                                                                                                                 |         26 |      1,785 |        107 |        400 |      2,292 |
| labeler\components\controllers                                                                                                     |          4 |        463 |         27 |         97 |        587 |
| labeler\components\controllers\__tests__                                                                                           |          2 |        207 |          6 |         65 |        278 |
| labeler\components\renderers                                                                                                       |          6 |        459 |         18 |        118 |        595 |
| labeler\components\renderers\__tests__                                                                                             |          3 |        250 |          9 |         81 |        340 |
| labeler\components\svgRenderers                                                                                                    |         16 |        863 |         62 |        185 |      1,110 |
| labeler\components\svgRenderers\__tests__                                                                                          |          4 |        225 |         12 |         65 |        302 |
| labeler\components\svgRenderers\shapes                                                                                             |          4 |        249 |         19 |         46 |        314 |
| labeler\components\svgRenderers\utilities                                                                                          |          7 |        341 |         28 |         65 |        434 |
| labeler\components\svgRenderers\utilities\__tests__                                                                                |          2 |         48 |          6 |         15 |         69 |
| labeler\docs                                                                                                                       |         10 |        572 |          0 |        334 |        906 |
| labeler\docs\utils                                                                                                                 |          3 |        189 |          0 |         97 |        286 |
| labeler\hooks                                                                                                                      |         19 |        898 |        185 |        235 |      1,318 |
| labeler\hooks\__tests__                                                                                                            |          7 |        493 |         21 |        146 |        660 |
| labeler\stores                                                                                                                     |         15 |      1,085 |        178 |        314 |      1,577 |
| labeler\stores\__tests__                                                                                                           |          6 |        550 |         18 |        162 |        730 |
| labeler\theming                                                                                                                    |          2 |         44 |          6 |          6 |         56 |
| labeler\types                                                                                                                      |          2 |        127 |        118 |         37 |        282 |
| labeler\utils                                                                                                                      |         16 |      2,421 |        380 |        468 |      3,269 |
| labeler\utils\__tests__                                                                                                            |          4 |      1,292 |         12 |        239 |      1,543 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                           | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\moabobakr\Documents\react-text-annotater\src\index.tsx                                                                    | TypeScript React |        142 |          3 |         18 |        163 |
| c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\Labeler.test.tsx                                                     | TypeScript React |        100 |          3 |         29 |        132 |
| c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\controllers\LayoutController.tsx                          | TypeScript React |        164 |         17 |         20 |        201 |
| c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\controllers\SvgLayoutController.tsx                       | TypeScript React |         92 |          4 |         12 |        108 |
| c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\controllers\__tests__\LayoutController.test.tsx           | TypeScript React |         88 |          3 |         24 |        115 |
