"filename", "language", "TypeScript React", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\Users\moabobakr\Documents\react-text-annotater\src\index.tsx", "TypeScript React", 142, 0, 0, 3, 18, 163
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\Labeler.test.tsx", "TypeScript React", 100, 0, 0, 3, 29, 132
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\controllers\LayoutController.tsx", "TypeScript React", 164, 0, 0, 17, 20, 201
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\controllers\SvgLayoutController.tsx", "TypeScript React", 92, 0, 0, 4, 12, 108
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\controllers\__tests__\LayoutController.test.tsx", "TypeScript React", 88, 0, 0, 3, 24, 115
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\controllers\__tests__\SvgLayoutController.test.tsx", "TypeScript React", 119, 0, 0, 3, 41, 163
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\renderers\BracketsRenderer.tsx", "TypeScript React", 60, 0, 0, 3, 12, 75
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\renderers\LineRenderer.tsx", "TypeScript React", 122, 0, 0, 3, 17, 142
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\renderers\TokenRenderer.tsx", "TypeScript React", 27, 0, 0, 3, 8, 38
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\renderers\__tests__\BracketsRenderer.test.tsx", "TypeScript React", 61, 0, 0, 3, 18, 82
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\renderers\__tests__\LineRenderer.test.tsx", "TypeScript React", 132, 0, 0, 3, 46, 181
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\renderers\__tests__\TokenRenderer.test.tsx", "TypeScript React", 57, 0, 0, 3, 17, 77
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\SvgRootRenderer.tsx", "TypeScript React", 48, 0, 0, 3, 9, 60
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\__tests__\BoxSvgRenderer.test.tsx", "TypeScript React", 90, 0, 0, 3, 24, 117
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\__tests__\RelationSvgRenderer.test.tsx", "TypeScript React", 53, 0, 0, 3, 15, 71
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\__tests__\SvgRootRenderer.test.tsx", "TypeScript React", 33, 0, 0, 3, 11, 47
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\__tests__\UnderlineSvgRenderer.test.tsx", "TypeScript React", 49, 0, 0, 3, 15, 67
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\shapes\BaseShapeSvgRenderer.tsx", "TypeScript React", 58, 0, 0, 3, 9, 70
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\shapes\BoxSvgRenderer.tsx", "TypeScript React", 65, 0, 0, 3, 13, 81
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\shapes\RelationSvgRenderer.tsx", "TypeScript React", 69, 0, 0, 10, 15, 94
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\shapes\UnderlineSvgRenderer.tsx", "TypeScript React", 57, 0, 0, 3, 9, 69
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\utilities\ArrowheadSvgRenderer.tsx", "TypeScript React", 38, 0, 0, 10, 8, 56
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\utilities\MultiLineSvgRenderer.tsx", "TypeScript React", 27, 0, 0, 3, 5, 35
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\utilities\NameSvgRenderer.tsx", "TypeScript React", 100, 0, 0, 3, 13, 116
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\utilities\ResizeKnobsSvgRenderer.tsx", "TypeScript React", 67, 0, 0, 3, 12, 82
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\utilities\TooltipRenderer.tsx", "TypeScript React", 61, 0, 0, 3, 12, 76
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\utilities\__tests__\NameSvgRenderer.test.tsx", "TypeScript React", 20, 0, 0, 3, 6, 29
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\components\svgRenderers\utilities\__tests__\TooltipRenderer.test.tsx", "TypeScript React", 28, 0, 0, 3, 9, 40
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\docs\labeler.md", "Markdown", 0, 0, 152, 0, 78, 230
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\docs\labelerTypes.md", "Markdown", 0, 0, 90, 0, 56, 146
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\docs\labelingRenderers.md", "Markdown", 0, 0, 11, 0, 10, 21
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\docs\labelingStores.md", "Markdown", 0, 0, 30, 0, 24, 54
"c:\Users\moabobakr\Documents\react-text-annotater\src\labeler\docs\languages.md", "Markdown", 0, 0, 10, 0, 10, 20
